timestamp,us_index,US-East,US-Central,US-West
2025-11-01T03:17:57.731151+00:00,2.9687,6.7422,2.576,2.3722
2025-11-01T04:26:22.528404+00:00,2.9212,6.7422,2.5243,2.3722
2025-11-01T05:23:33.184920+00:00,2.9718,6.7422,2.5727,2.3722
2025-11-01T06:32:32.970691+00:00,2.7485,6.7422,2.2699,2.3722
2025-11-01T07:22:32.713564+00:00,3.4595,6.7422,2.5224,6.1571
2025-11-01T08:29:50.394242+00:00,2.9526,6.7422,2.5276,2.3722
2025-11-01T09:23:17.556641+00:00,2.939,6.7422,2.516,2.3722
2025-11-01T10:24:51.758634+00:00,3.0717,6.7422,2.5642,2.8355
2025-11-01T11:19:42.260413+00:00,3.0782,6.7422,2.5611,2.8355
2025-11-01T12:44:52.782332+00:00,3.4944,6.7422,2.5883,6.1571
2025-11-01T13:28:56.183168+00:00,3.3343,6.7422,2.4965,6.1571
2025-11-01T14:21:27.287823+00:00,2.9713,6.7422,2.5512,2.3722
2025-11-01T15:22:16.621462+00:00,3.3552,6.7422,2.3077,6.1571
2025-11-01T16:27:35.528378+00:00,3.6001,6.7422,2.5158,6.1571
2025-11-01T17:18:46.738108+00:00,3.5968,6.7422,2.5095,6.1571
2025-11-01T18:30:36.292145+00:00,3.5142,6.7422,2.4825,6.1571
2025-11-01T19:17:36.768227+00:00,3.015,6.7422,2.4861,2.7886
2025-11-01T20:23:13.238499+00:00,3.3817,6.7422,2.3084,6.1571
2025-11-01T21:19:53.472001+00:00,3.1063,6.7422,2.5162,2.8355
2025-11-01T22:21:05.516796+00:00,3.5286,6.7422,2.5328,6.1571
2025-11-01T23:23:21.978795+00:00,3.6298,6.7422,2.5858,6.1571
2025-11-02T01:56:45.385566+00:00,3.556,6.7422,2.6054,6.1571
2025-11-02T03:19:51.533763+00:00,3.4804,6.7422,2.4956,6.1571
2025-11-02T04:28:20.038260+00:00,3.0324,6.7422,2.5707,2.3722
2025-11-02T05:24:42.743448+00:00,3.1439,6.7422,2.6457,2.7886
2025-11-02T06:34:03.205536+00:00,3.1558,6.7422,2.5919,2.7886
2025-11-02T07:21:58.735027+00:00,3.4587,6.7422,2.5224,6.1571
2025-11-02T08:27:17.521925+00:00,3.501,6.7422,2.5582,6.1571
2025-11-02T09:23:57.789224+00:00,3.4816,6.7422,2.5396,6.1571
2025-11-02T10:22:50.696318+00:00,2.9,6.7422,2.4801,2.3722
2025-11-02T11:18:14.651938+00:00,3.0404,6.7422,2.4899,2.8355
2025-11-02T12:44:32.048360+00:00,3.166,6.7422,2.5582,2.7886
2025-11-02T13:26:55.694623+00:00,3.1256,6.7422,2.607,2.7886
2025-11-02T14:20:33.879335+00:00,3.3893,6.7422,2.5243,6.1571
2025-11-02T15:21:49.437735+00:00,3.0732,6.7422,2.5904,2.7886
2025-11-02T16:26:53.880127+00:00,2.9358,6.7422,2.5406,2.3722
2025-11-02T17:21:25.986229+00:00,3.0119,6.7422,2.5811,2.3722
2025-11-02T18:29:59.461472+00:00,3.1186,6.7422,2.5663,2.8355
2025-11-02T19:18:24.926283+00:00,3.1431,6.7422,2.538,2.8355
2025-11-02T20:25:23.444116+00:00,2.9957,6.7422,2.5016,2.7886
2025-11-02T21:21:18.519434+00:00,2.9744,6.7422,2.5777,2.3722
